index,id,level_1,level_2,level_3
75,data/2006/05/29/1765304.xml,Top--News,Top--News--Sports,Top--News--Sports--Hockey
76,data/2006/05/29/1765291.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
77,data/2006/05/29/1765281.xml,Top--News,Top--News--Sports,None
78,data/2006/05/29/1765248.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Editorials
79,data/2006/05/11/1760828.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Editorials
80,data/2006/05/11/1760767.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
81,data/2006/05/11/1760931.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
81,data/2006/05/11/1760931.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
82,data/2006/05/11/1760950.xml,Top--News,Top--News--New York and Region,None
82,data/2006/05/11/1760950.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
83,data/2006/05/30/1765469.xml,Top--News,Top--News--Sports,Top--News--Sports--Pro Basketball
84,data/2006/05/30/1765324.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
85,data/2006/05/30/1765372.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
86,data/2006/05/08/1760240.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
86,data/2006/05/08/1760240.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
87,data/2006/05/08/1760256.xml,Top--News,Top--News--Sports,Top--News--Sports--Pro Basketball
88,data/2006/05/02/1758721.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
89,data/2006/05/02/1758640.xml,Top--Features,Top--Features--Arts,None
89,data/2006/05/02/1758640.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
90,data/2006/05/02/1758747.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
91,data/2006/05/06/1759529.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
91,data/2006/05/06/1759529.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
92,data/2006/05/06/1759587.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
92,data/2006/05/06/1759587.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
93,data/2006/05/15/1761862.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
94,data/2006/05/27/1764607.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
94,data/2006/05/27/1764607.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
95,data/2006/05/27/1764675.xml,Top--News,Top--News--World,None
95,data/2006/05/27/1764675.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
96,data/2006/05/27/1764622.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
97,data/2006/05/27/1764629.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
98,data/2006/05/18/1762440.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
100,data/2006/05/18/1762514.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
101,data/2006/05/01/1758571.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
102,data/2006/05/01/1758570.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
103,data/1998/12/11/1068771.xml,Top--News,Top--News--U.S.,None
104,data/1998/12/11/1068841.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
104,data/1998/12/11/1068841.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
105,data/1998/12/11/1068750.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
107,data/1998/12/29/1073253.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
107,data/1998/12/29/1073253.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
109,data/1998/12/02/1066698.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
111,data/1998/12/02/1066680.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
112,data/1998/12/02/1066722.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
113,data/1998/12/02/1066648.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
114,data/1998/12/02/1066717.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
115,data/1998/12/02/1066665.xml,Top--News,Top--News--Sports,Top--News--Sports--Pro Football
116,data/1998/12/30/1073451.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
118,data/1998/12/30/1073410.xml,Top--News,Top--News--Business,None
119,data/1998/12/30/1073425.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
119,data/1998/12/30/1073425.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
120,data/1998/12/05/1067274.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
121,data/1998/12/05/1067325.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
122,data/1998/12/05/1067328.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
123,data/1998/12/05/1067285.xml,Top--Features,Top--Features--Arts,Top--Features--Arts--Dance
124,data/1998/12/24/1072060.xml,Top--News,Top--News--Technology,Top--News--Technology--Circuits
124,data/1998/12/24/1072060.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
125,data/1998/12/24/1072196.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
125,data/1998/12/24/1072196.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
126,data/1998/12/24/1072206.xml,Top--News,Top--News--Sports,Top--News--Sports--Hockey
127,data/1998/12/24/1072199.xml,Top--Opinion,Top--Opinion--Opinion,None
127,data/1998/12/24/1072199.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
128,data/1998/12/24/1072251.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
129,data/1998/12/24/1072088.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
130,data/1998/12/24/1072074.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
130,data/1998/12/24/1072074.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
131,data/1998/12/16/1070210.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
131,data/1998/12/16/1070210.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
132,data/1998/12/16/1070112.xml,Top--News,Top--News--New York and Region,None
134,data/1998/12/16/1070195.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
135,data/1998/12/18/1070566.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
135,data/1998/12/18/1070566.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
136,data/1998/12/18/1070688.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
136,data/1998/12/18/1070688.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
137,data/1998/12/18/1070673.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
138,data/1998/12/12/1069071.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
139,data/1998/12/12/1069045.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
140,data/1998/12/12/1068938.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Op-Ed
142,data/1998/12/12/1069006.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
143,data/1998/12/20/1071191.xml,Top--News,Top--News--New York and Region,Top--News--New York and Region--Westchester
143,data/1998/12/20/1071191.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
144,data/1998/12/20/1071006.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
145,data/1998/12/20/1071423.xml,Top--Features,Top--Features--Arts,Top--Features--Arts--Art and Design
146,data/1998/12/20/1071002.xml,Top--Classifieds,Top--Classifieds--Real Estate,None
146,data/1998/12/20/1071002.xml,Top--Opinion,Top--Opinion--Opinion,None
146,data/1998/12/20/1071002.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
148,data/1998/12/01/1066471.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
149,data/1998/12/01/1066444.xml,Top--News,Top--News--Sports,Top--News--Sports--Pro Basketball
150,data/1998/12/01/1066483.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
151,data/1998/12/01/1066460.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
152,data/1998/12/01/1066469.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
153,data/1998/12/01/1066407.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
154,data/1998/12/01/1066447.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
155,data/1998/12/01/1066342.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
155,data/1998/12/01/1066342.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
156,data/1998/12/06/1067451.xml,Top--Opinion,Top--Opinion--Opinion,None
157,data/1998/12/06/1067819.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
158,data/1998/12/06/1067636.xml,Top--Opinion,Top--Opinion--Opinion,None
158,data/1998/12/06/1067636.xml,Top--News,Top--News--New York and Region,Top--News--New York and Region--New Jersey
160,data/1998/12/06/1067543.xml,Top--News,Top--News--New York and Region,Top--News--New York and Region--New Jersey
161,data/1998/12/06/1067492.xml,Top--News,Top--News--New York and Region,Top--News--New York and Region--Westchester
162,data/1998/12/27/1072683.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
163,data/1998/12/27/1072903.xml,Top--News,Top--News--Sports,Top--News--Sports--Pro Football
164,data/1998/12/27/1072967.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
165,data/1998/12/27/1072710.xml,Top--Features,Top--Features--Magazine,None
165,data/1998/12/27/1072710.xml,Top--News,Top--News--Sports,Top--News--Sports--Pro Football
166,data/1998/12/27/1072633.xml,Top--News,Top--News--New York and Region,Top--News--New York and Region--Long Island
167,data/1998/12/27/1072564.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
168,data/1998/12/27/1072896.xml,Top--News,Top--News--Business,Top--News--Business--Your Money
169,data/1998/12/27/1072610.xml,Top--Opinion,Top--Opinion--Opinion,None
171,data/1998/12/27/1072797.xml,Top--Features,Top--Features--Style,Top--Features--Style--Fashion and Style
172,data/1998/12/27/1072600.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
173,data/1998/12/27/1072986.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
175,data/1998/12/15/1069972.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
176,data/1998/12/15/1069947.xml,Top--News,Top--News--Science,None
176,data/1998/12/15/1069947.xml,Top--Opinion,Top--Opinion--Opinion,None
177,data/1998/12/15/1069911.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
178,data/1998/12/15/1069865.xml,Top--News,Top--News--World,None
178,data/1998/12/15/1069865.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
179,data/1998/12/15/1070029.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
180,data/1998/12/15/1069913.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
181,data/1998/12/15/1070034.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
182,data/1998/12/15/1069992.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
183,data/1998/12/25/1072368.xml,Top--News,Top--News--U.S.,"Top--News--U.S.--U.S. States, Territories and Possessions"
183,data/1998/12/25/1072368.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
183,data/1998/12/25/1072368.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
184,data/1998/12/25/1072393.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
187,data/1998/12/17/1070490.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
188,data/1998/12/17/1070473.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
189,data/1998/12/17/1070377.xml,Top--News,Top--News--Business,None
190,data/1998/12/17/1070425.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
190,data/1998/12/17/1070425.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
191,data/1998/12/17/1070418.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
193,data/1998/12/03/1066853.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
194,data/1998/12/03/1066759.xml,Top--Features,Top--Features--Arts,None
195,data/1998/12/03/1066947.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
196,data/1998/12/09/1068356.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
197,data/1998/12/09/1068425.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
198,data/1998/12/09/1068406.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
199,data/1998/12/09/1068370.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
200,data/1998/12/31/1073638.xml,Top--News,Top--News--Business,None
201,data/1998/12/31/1073627.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
202,data/1998/12/31/1073637.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
202,data/1998/12/31/1073637.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
203,data/1998/12/31/1073685.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
204,data/1998/12/31/1073598.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
205,data/1998/12/31/1073609.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
207,data/1998/12/10/1068527.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Editorials
208,data/1998/12/10/1068659.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
208,data/1998/12/10/1068659.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
209,data/1998/12/10/1068648.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
210,data/1998/12/10/1068501.xml,Top--News,Top--News--Technology,Top--News--Technology--Circuits
210,data/1998/12/10/1068501.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
211,data/1998/12/10/1068616.xml,Top--News,Top--News--Business,None
212,data/1998/12/10/1068481.xml,Top--News,Top--News--Technology,Top--News--Technology--Circuits
212,data/1998/12/10/1068481.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
213,data/1998/12/28/1073142.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
215,data/1998/12/28/1073104.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
216,data/1998/12/28/1073080.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
219,data/1998/12/22/1071846.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
220,data/1998/12/22/1071710.xml,Top--News,Top--News--Business,None
220,data/1998/12/22/1071710.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
221,data/1998/12/22/1071800.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
222,data/1998/12/22/1071750.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
223,data/1998/12/22/1071660.xml,Top--News,Top--News--U.S.,Top--News--U.S.--New England
223,data/1998/12/22/1071660.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
224,data/1998/12/26/1072502.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
224,data/1998/12/26/1072502.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
226,data/1998/12/26/1072532.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
226,data/1998/12/26/1072532.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
227,data/1998/12/26/1072556.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
229,data/1998/12/14/1069788.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
230,data/1998/12/14/1069728.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
230,data/1998/12/14/1069728.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
231,data/1998/12/07/1067895.xml,Top--News,Top--News--New York and Region,Top--News--New York and Region--Columns
232,data/1998/12/07/1067914.xml,Top--News,Top--News--New York and Region,None
233,data/1998/12/07/1067979.xml,Top--News,Top--News--Business,None
233,data/1998/12/07/1067979.xml,Top--Features,Top--Features--Books,None
233,data/1998/12/07/1067979.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
234,data/1998/12/13/1069309.xml,Top--Features,Top--Features--Style,Top--Features--Style--Fashion and Style
235,data/1998/12/13/1069531.xml,Top--News,Top--News--Sports,Top--News--Sports--Pro Football
236,data/1998/12/13/1069514.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
237,data/1998/12/13/1069554.xml,Top--News,Top--News--U.S.,None
239,data/1998/12/13/1069421.xml,Top--News,Top--News--Business,Top--News--Business--Your Money
239,data/1998/12/13/1069421.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
240,data/1998/12/13/1069161.xml,Top--Opinion,Top--Opinion--Opinion,None
241,data/1998/12/13/1069168.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
242,data/1998/12/13/1069252.xml,Top--Opinion,Top--Opinion--Opinion,None
